query_id,text,intent,location,target_os,software,condition
q00001,List machines in Lab 1 that meet Fedora 42 requirements.,os_compatibility_check,Lab 1,Fedora 42,,
q00002,Which systems support VMware Workstation in Lab 2?,software_compatibility_check,Lab 2,,VMware Workstation,
q00003,Best operating system for AI Lab?,os_recommendation,AI Lab,Debian 13,,
q00004,Can computers in Block A run Blender?,software_compatibility_check,Block A,,Blender,
q00005,Check MATLAB compatibility for Programming Lab.,software_compatibility_check,Programming Lab,,MATLAB,
q00006,Best operating system for Block C?,os_recommendation,Block C,Linux Mint 22,,
q00007,Best operating system for Programming Lab?,os_recommendation,Programming Lab,Debian 13,,
q00008,Plan upgrades for Programming Lab to run Windows 11.,upgrade_planning,Programming Lab,Windows 11,Visual Studio Code,Storage
q00009,Check PyCharm compatibility for AI Lab.,software_compatibility_check,AI Lab,,PyCharm,
q00010,Which PCs in Lab 2 have 8 GB RAM?,hardware_query,Lab 2,,,
q00011,Which systems support PyCharm in AI Lab?,software_compatibility_check,AI Lab,,PyCharm,
q00012,Show hardware details for Block C.,hardware_query,Block C,,,
q00013,What upgrades are required in Network Lab?,upgrade_planning,Network Lab,Fedora 42,Android Studio,Secure Boot
q00014,Is VMware Workstation supported in Block C?,software_compatibility_check,Block C,,VMware Workstation,
q00015,Find systems needing TPM.,upgrade_planning,Block C,Windows 10,AutoCAD,TPM
q00016,Check AutoCAD 2026 compatibility for Lab 1.,software_compatibility_check,Lab 1,,AutoCAD,
q00017,What applications are compatible with Block B computers?,reverse_software_lookup,Block B,,Blender,
q00018,Which computers need TPM for VS Code?,upgrade_planning,Network Lab,Linux Mint 22,Visual Studio Code,TPM
q00019,List computers with SSD in Library.,hardware_query,Library,,,
q00020,Plan upgrades for Network Lab to run Windows 11.,upgrade_planning,Network Lab,Windows 11,MATLAB,Secure Boot
q00021,Best operating system for Library?,os_recommendation,Library,Fedora 42,,
q00022,List machines in Lab 1 that meet Fedora 42 requirements.,os_compatibility_check,Lab 1,Fedora 42,,
q00023,Check MATLAB compatibility for Block B.,software_compatibility_check,Block B,,MATLAB,
q00024,Which PCs in Programming Lab have 8 GB RAM?,hardware_query,Programming Lab,,,
q00025,List software supported by PCs in Network Lab.,reverse_software_lookup,Network Lab,,AutoCAD,
q00026,List machines in AI Lab that meet Fedora 42 requirements.,os_compatibility_check,AI Lab,Fedora 42,,
q00027,List software supported by PCs in AI Lab.,reverse_software_lookup,AI Lab,,VMware Workstation,
q00028,Which operating system is most suitable for Library?,os_recommendation,Library,Debian 13,,
q00029,Recommend the best OS for Lab 1.,os_recommendation,Lab 1,Ubuntu 24.04,,
q00030,Is Blender supported in Block C?,software_compatibility_check,Block C,,Blender,
q00031,Find systems needing RAM upgrade.,upgrade_planning,Lab 1,Ubuntu 24.04,VMware Workstation,RAM upgrade
q00032,Recommend the best OS for Lab 2.,os_recommendation,Lab 2,Windows 10,,
q00033,Which systems support AutoCAD 2026 in Block C?,software_compatibility_check,Block C,,AutoCAD,
q00034,List software supported by PCs in Block C.,reverse_software_lookup,Block C,,MATLAB,
q00035,What upgrades are required in Block C?,upgrade_planning,Block C,Debian 13,Visual Studio Code,Storage
q00036,Show hardware details for AI Lab.,hardware_query,AI Lab,,,
q00037,Recommend the best OS for AI Lab.,os_recommendation,AI Lab,Debian 13,,
q00038,Show hardware details for Network Lab.,hardware_query,Network Lab,,,
q00039,Which computers need RAM upgrade for VMware Workstation?,upgrade_planning,Network Lab,Windows 11,VMware Workstation,RAM upgrade
q00040,Show hardware details for Lab 1.,hardware_query,Lab 1,,,
q00041,Recommend the best OS for Block C.,os_recommendation,Block C,Debian 13,,
q00042,Can computers in Block A run Blender?,software_compatibility_check,Block A,,Blender,
q00043,What upgrades are required in Library?,upgrade_planning,Library,Fedora 42,Android Studio,CPU
q00044,Which systems support VS Code in Network Lab?,software_compatibility_check,Network Lab,,Visual Studio Code,
q00045,Which computers in Programming Lab can run Linux Mint 22?,os_compatibility_check,Programming Lab,Linux Mint 22,,
q00046,Can computers in Library run VMware Workstation?,software_compatibility_check,Library,,VMware Workstation,
q00047,List computers with SSD in Block A.,hardware_query,Block A,,,
q00048,Find systems needing CPU.,upgrade_planning,Block C,Linux Mint 22,Visual Studio Code,CPU
q00049,Suggest an OS for computers in Block B.,os_recommendation,Block B,Debian 13,,
q00050,Find software that runs on Block B.,reverse_software_lookup,Block B,,AutoCAD,
q00051,Which operating system is most suitable for Lab 1?,os_recommendation,Lab 1,Fedora 42,,
q00052,Which systems support VMware Workstation in Lab 1?,software_compatibility_check,Lab 1,,VMware Workstation,
q00053,Which systems support VS Code in AI Lab?,software_compatibility_check,AI Lab,,Visual Studio Code,
q00054,Show hardware details for Programming Lab.,hardware_query,Programming Lab,,,
q00055,Find systems needing GPU.,upgrade_planning,Block B,Windows 11,PyCharm,GPU
q00056,Plan upgrades for Library to run Linux Mint 22.,upgrade_planning,Library,Linux Mint 22,Visual Studio Code,Storage
q00057,Best operating system for Block B?,os_recommendation,Block B,Debian 13,,
q00058,Is VMware Workstation supported in AI Lab?,software_compatibility_check,AI Lab,,VMware Workstation,
q00059,Can computers in Block C run VMware Workstation?,software_compatibility_check,Block C,,VMware Workstation,
q00060,List software supported by PCs in Network Lab.,reverse_software_lookup,Network Lab,,MATLAB,
q00061,Plan upgrades for AI Lab to run Windows 10.,upgrade_planning,AI Lab,Windows 10,AutoCAD,GPU
q00062,Display CPU details for Programming Lab.,hardware_query,Programming Lab,,,
q00063,Find systems needing GPU.,upgrade_planning,Block C,Linux Mint 22,Blender,GPU
q00064,Suggest an OS for computers in Lab 2.,os_recommendation,Lab 2,Debian 13,,
q00065,List computers with SSD in Lab 1.,hardware_query,Lab 1,,,
q00066,What applications are compatible with Lab 2 computers?,reverse_software_lookup,Lab 2,,Android Studio,
q00067,What upgrades are required in Library?,upgrade_planning,Library,Windows 10,Blender,CPU
q00068,Suggest an OS for computers in Lab 1.,os_recommendation,Lab 1,Ubuntu 24.04,,
q00069,List machines in Programming Lab that meet Windows 11 requirements.,os_compatibility_check,Programming Lab,Windows 11,,
q00070,Suggest an OS for computers in Block A.,os_recommendation,Block A,Debian 13,,
q00071,Suggest an OS for computers in Block A.,os_recommendation,Block A,Windows 10,,
q00072,List software supported by PCs in Block A.,reverse_software_lookup,Block A,,Blender,
q00073,Which systems support PyCharm in Library?,software_compatibility_check,Library,,PyCharm,
q00074,Find systems needing Storage.,upgrade_planning,Network Lab,Linux Mint 22,Visual Studio Code,Storage
q00075,Is AutoCAD 2026 supported in Network Lab?,software_compatibility_check,Network Lab,,AutoCAD,
q00076,Show PCs in Block A incompatible with Fedora 42.,os_compatibility_check,Block A,Fedora 42,,
q00077,Recommend the best OS for Library.,os_recommendation,Library,Windows 11,,
q00078,What applications are compatible with AI Lab computers?,reverse_software_lookup,AI Lab,,MATLAB,
q00079,Which software can run on computers in Library?,reverse_software_lookup,Library,,Visual Studio Code,
q00080,Best operating system for Lab 1?,os_recommendation,Lab 1,Debian 13,,
q00081,What upgrades are required in Programming Lab?,upgrade_planning,Programming Lab,Fedora 42,Blender,TPM
q00082,Best operating system for Lab 2?,os_recommendation,Lab 2,Linux Mint 22,,
q00083,Show PCs in AI Lab incompatible with Debian 13.,os_compatibility_check,AI Lab,Debian 13,,
q00084,What upgrades are required in Lab 1?,upgrade_planning,Lab 1,Windows 11,Oracle Database,RAM upgrade
q00085,Find software that runs on Block A.,reverse_software_lookup,Block A,,Android Studio,
q00086,Best operating system for Block A?,os_recommendation,Block A,Fedora 42,,
q00087,Suggest an OS for computers in Library.,os_recommendation,Library,Fedora 42,,
q00088,Which software can run on computers in AI Lab?,reverse_software_lookup,AI Lab,,Oracle Database,
q00089,List machines in Block C that meet Ubuntu 24.04 requirements.,os_compatibility_check,Block C,Ubuntu 24.04,,
q00090,List computers with SSD in Block B.,hardware_query,Block B,,,
q00091,Recommend the best OS for Programming Lab.,os_recommendation,Programming Lab,Windows 11,,
q00092,List machines in AI Lab that meet Fedora 42 requirements.,os_compatibility_check,AI Lab,Fedora 42,,
q00093,Which PCs in AI Lab have 8 GB RAM?,hardware_query,AI Lab,,,
q00094,Recommend the best OS for Block B.,os_recommendation,Block B,Windows 10,,
q00095,Which computers need Storage for Oracle Database?,upgrade_planning,AI Lab,Windows 10,Oracle Database,Storage
q00096,Which computers need TPM for Android Studio?,upgrade_planning,Programming Lab,Windows 10,Android Studio,TPM
q00097,Suggest an OS for computers in Library.,os_recommendation,Library,Windows 10,,
q00098,Which systems support MATLAB in Block A?,software_compatibility_check,Block A,,MATLAB,
q00099,Suggest an OS for computers in Block C.,os_recommendation,Block C,Debian 13,,
q00100,Can systems in Block A support Windows 10?,os_compatibility_check,Block A,Windows 10,,
q00101,List computers with SSD in Library.,hardware_query,Library,,,
q00102,Which computers need Storage for PyCharm?,upgrade_planning,Lab 1,Windows 10,PyCharm,Storage
q00103,Can systems in Programming Lab support Windows 11?,os_compatibility_check,Programming Lab,Windows 11,,
q00104,Which computers in Library can run Ubuntu 24.04?,os_compatibility_check,Library,Ubuntu 24.04,,
q00105,Find software that runs on AI Lab.,reverse_software_lookup,AI Lab,,Visual Studio Code,
q00106,Which software can run on computers in Network Lab?,reverse_software_lookup,Network Lab,,AutoCAD,
q00107,Best operating system for Block A?,os_recommendation,Block A,Windows 10,,
q00108,Check Blender compatibility for Lab 1.,software_compatibility_check,Lab 1,,Blender,
q00109,Display CPU details for Lab 1.,hardware_query,Lab 1,,,
q00110,Is Android Studio supported in Library?,software_compatibility_check,Library,,Android Studio,
q00111,What applications are compatible with Lab 2 computers?,reverse_software_lookup,Lab 2,,Oracle Database,
q00112,List software supported by PCs in Library.,reverse_software_lookup,Library,,Android Studio,
q00113,List software supported by PCs in Lab 1.,reverse_software_lookup,Lab 1,,PyCharm,
q00114,Which systems support Oracle Database in Block B?,software_compatibility_check,Block B,,Oracle Database,
q00115,List machines in Block B that meet Debian 13 requirements.,os_compatibility_check,Block B,Debian 13,,
q00116,What applications are compatible with Network Lab computers?,reverse_software_lookup,Network Lab,,MATLAB,
q00117,Best operating system for Network Lab?,os_recommendation,Network Lab,Fedora 42,,
q00118,Can computers in Network Lab run PyCharm?,software_compatibility_check,Network Lab,,PyCharm,
q00119,What upgrades are required in Lab 2?,upgrade_planning,Lab 2,Windows 10,Oracle Database,RAM upgrade
q00120,Can computers in Lab 1 run VS Code?,software_compatibility_check,Lab 1,,Visual Studio Code,
q00121,What upgrades are required in Lab 1?,upgrade_planning,Lab 1,Fedora 42,AutoCAD,Storage
q00122,Which PCs in Block C have 8 GB RAM?,hardware_query,Block C,,,
q00123,Recommend the best OS for Lab 2.,os_recommendation,Lab 2,Debian 13,,
q00124,Check VS Code compatibility for Block A.,software_compatibility_check,Block A,,Visual Studio Code,
q00125,Which PCs in Lab 1 have 8 GB RAM?,hardware_query,Lab 1,,,
q00126,Show hardware details for Block C.,hardware_query,Block C,,,
q00127,Can computers in Library run VS Code?,software_compatibility_check,Library,,Visual Studio Code,
q00128,Which computers need Secure Boot for VMware Workstation?,upgrade_planning,Network Lab,Windows 10,VMware Workstation,Secure Boot
q00129,Find systems needing CPU.,upgrade_planning,AI Lab,Fedora 42,VMware Workstation,CPU
q00130,Which operating system is most suitable for Block C?,os_recommendation,Block C,Debian 13,,
q00131,Which PCs in AI Lab have 8 GB RAM?,hardware_query,AI Lab,,,
q00132,Show PCs in Lab 2 incompatible with Ubuntu 24.04.,os_compatibility_check,Lab 2,Ubuntu 24.04,,
q00133,Which software can run on computers in Lab 1?,reverse_software_lookup,Lab 1,,Oracle Database,
q00134,Which systems support Blender in Library?,software_compatibility_check,Library,,Blender,
q00135,Which computers in Network Lab can run Fedora 42?,os_compatibility_check,Network Lab,Fedora 42,,
q00136,Display CPU details for Programming Lab.,hardware_query,Programming Lab,,,
q00137,Recommend the best OS for Block C.,os_recommendation,Block C,Fedora 42,,
q00138,Check Blender compatibility for Block C.,software_compatibility_check,Block C,,Blender,
q00139,Can systems in Lab 2 support Linux Mint 22?,os_compatibility_check,Lab 2,Linux Mint 22,,
q00140,Show hardware details for Lab 2.,hardware_query,Lab 2,,,
q00141,Find systems needing GPU.,upgrade_planning,Network Lab,Ubuntu 24.04,Blender,GPU
q00142,What upgrades are required in Lab 2?,upgrade_planning,Lab 2,Debian 13,Android Studio,Storage
q00143,Suggest an OS for computers in Lab 2.,os_recommendation,Lab 2,Windows 10,,
q00144,Which systems support AutoCAD 2026 in Network Lab?,software_compatibility_check,Network Lab,,AutoCAD,
q00145,Recommend the best OS for Programming Lab.,os_recommendation,Programming Lab,Ubuntu 24.04,,
q00146,Which PCs in Lab 1 have 8 GB RAM?,hardware_query,Lab 1,,,
q00147,Recommend the best OS for AI Lab.,os_recommendation,AI Lab,Windows 11,,
q00148,Which systems support MATLAB in Block A?,software_compatibility_check,Block A,,MATLAB,
q00149,What applications are compatible with Block C computers?,reverse_software_lookup,Block C,,PyCharm,
q00150,Which software can run on computers in Lab 1?,reverse_software_lookup,Lab 1,,AutoCAD,
